available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands
10,20:27:32,00170 - ROUTE D ALBI   / CUVIER,43.635666512128225,1.464148138450798,7,17
7,20:20:31,00274 - GALLIENI,43.574,1.41954,11,18
0,20:24:59,00213 - PUJOL/ CHAUBET,43.60075517705335,1.467514131065815,17,17
5,20:29:11,00049 - COUTELIER - METZ,43.599589544431005,1.441434965295236,11,16
7,20:22:19,00052 - DUPORTAL CITE ADMIN.,43.60864745421513,1.434650096062823,14,21
2,20:27:26,00104 - MURET BARTHERE,43.58903,1.43104,16,18
0,20:22:18,00013 - LOIS ESQUILE,43.60621318190248,1.441331077590377,15,15
5,20:26:32,00129 - CROIX DE PIERRE,43.58588,1.4278,11,16
4,20:23:15,00158 - URSS ST THOMAS D AQUIN,43.580795461338795,1.449135738584587,16,20
4,20:28:48,00168 - BILA   /  ROUTE D ALBI,43.626509813353074,1.458930207887618,16,20
15,20:29:51,00249 - CROIX DAURADE,43.63812899582609,1.46521198710394,4,19
9,20:23:54,00015 - PONT MONTAUDRAN,43.59642,1.4565,11,20
7,20:20:52,00247 - LAUNAGUET / AUDIBERT,43.63677495879212,1.439230135508607,11,18
22,20:29:20,00076 - REPUBLIQUE PL. OLIVIER,43.59849490883457,1.435181557097925,0,22
2,20:29:42,00193 - LOMBEZ / PETITE VITESSE,43.594849382545554,1.415377349047291,18,20
11,20:28:17,00190 - ESPAGNE LES OUSTALOUS,43.57827536338912,1.423916022506519,9,20
4,20:26:18,00180 - PLACE SOUPETARD,43.6122515815792,1.47765639323401,13,18
5,20:22:49,00164 - BEDOUCE SAOUZELONG,43.579725432743686,1.460094426022393,15,20
16,20:23:46,00051 - DUPORTAL BRIENNE,43.605035688745794,1.434843235786321,2,18
2,20:30:30,00035 - PLACE JEANNE D'ARC,43.60964,1.4469,23,25
3,20:30:28,00044 - PALAIS NIEL,43.59800264157314,1.45174992410964,19,22
9,20:25:19,00171 - ROUTE D ALBI / CACTUS,43.640897350426606,1.466308391813157,9,18
8,20:25:13,00162 - PLACE D'ITALIE,43.580276538637605,1.45491780578712,9,17
10,20:30:13,00031 - SALENQUES,43.60749002329994,1.43922052825561,10,20
11,20:22:55,00138 - BARRIERE DE BAYONNE,43.598196214598815,1.41997369298729,8,20
15,20:28:10,00098 - PONT DES DEMOISELLES,43.587677990128874,1.459836309553229,7,22
4,20:29:37,00016 - STRASBOURG BAYARD,43.60793763027584,1.446610770547085,17,21
0,20:22:34,00198 - LAFILAIRE - DELTOUR,43.59622771557735,1.473457600659471,20,20
8,20:24:47,00056 - SAINT SERNIN  MERLY,43.609029818757634,1.442808436675486,7,15
0,20:23:15,00146 - SANG DE SERP - DAGNAUX,43.61541821044434,1.428493330933498,20,20
7,20:22:47,00269 - PLACE SAUVEGRAIN,43.58996,1.37764,11,18
1,20:27:40,00095 - THEATRE GARONNE,43.602528105503815,1.425222752953333,21,22
3,20:20:44,00092 - CHALETS,43.61325027179293,1.441220679302088,12,15
16,20:30:26,00038 - JAURES BACHELIER,43.60754756868432,1.451651418090918,2,19
3,20:23:41,00140 - EMILE MALE,43.59175,1.41868,26,29
0,20:28:10,00176 - GENERAL COMPANS,43.606790468455905,1.458008846441328,18,18
0,20:28:31,00237 - CNRS,43.56361464501064,1.479772209704475,20,20
4,20:28:47,00206 - LEYGUE/ RIEUX,43.594341505924845,1.464668419108617,14,18
10,20:23:23,00088 - DUPORTAL LASCROSSES,43.610250914040755,1.435070094381549,15,25
19,20:30:20,00089 - ESP COMPANS CAFFARELLI,43.611036915218165,1.436628759028233,3,23
11,20:26:17,00100 - PORT ST SAUVEUR,43.59697406705044,1.455674042776099,9,20
14,20:26:34,00215 - METRO ARGOULETS,43.623814424096544,1.475849028782433,6,20
10,20:30:30,00054 - CHAINE,43.60842033750804,1.439762556768512,7,17
8,20:28:53,00008 - ESPACE SAINT GEORGES,43.60307769477977,1.448047137954633,17,25
10,20:23:51,00277 - ZAMENHOF,43.58549,1.37708,8,18
0,20:28:18,00214 - CASTRES/ ACHIARY,43.600795440313355,1.473660631896838,17,17
12,20:30:20,00114 - BD MONTPLAISIR - CANAL,43.59239101222708,1.458007861390548,7,20
1,20:23:52,00002 - LAFAYETTE,43.60485265221502,1.445285876671779,23,24
0,20:20:59,00199 - DELTOUR - RIEUX,43.591528310013615,1.470276283956405,22,22
6,20:22:21,00223 - ENAC,43.565104300575406,1.478340741030179,16,22
7,20:28:13,00010 - PLACE ESQUIROL,43.6003776908545,1.44544233356215,25,34
12,20:29:17,00250 - 11 NOVEMBRE,43.593097534292575,1.414428635946386,6,18
0,20:28:59,00045 - OZENNE,43.596327873693475,1.447014394243565,19,19
12,20:29:30,00083 - SEJOURNE AMIDONNIERS,43.6055917312578,1.428253851896989,5,17
2,20:25:53,00047 - NAZARETH LANGUEDOC,43.59546175758775,1.445531445171338,23,25
6,20:20:52,00231 - NARBONNE MARFAING,43.557243695153005,1.465370657992508,14,20
10,20:26:25,00216 - ARGOULETS HOUDON,43.622829380921075,1.474057401308612,7,17
2,20:28:19,00194 - LOMBEZ / HIPPODROME,43.594206765269206,1.410651114174017,18,20
6,20:24:52,00263 - LYCEE POLYVALENT,43.58444,1.39867,12,18
4,20:30:07,00169 - ALBI  / JAFFARY,43.63124672931264,1.462248097516892,13,17
16,20:30:17,00039 - PLACE DAMLOUP,43.60583232118379,1.452939708828422,2,19
1,20:29:01,00201 - POTEZ -ST EXUPERY,43.57965532664315,1.48049587613679,17,18
8,20:29:12,00101 - CAPT PORT ST SAUVEUR,43.59426485044087,1.456321836591291,12,20
13,20:27:41,00258 - CAMBARD,43.62957,1.47643,5,18
6,20:22:12,00159 - U.R.S.S DEVIC,43.5785038852904,1.450284083376377,13,20
14,20:26:37,00072 - FITTE CUGNAUX,43.59504949175626,1.432688307877285,6,20
13,20:25:33,00261 - VAN DYCK - LAUNAGUET,43.64066,1.4401,5,18
14,20:22:44,00151 - CURIE - NEGRENEYS,43.62459108857192,1.443059611732516,10,24
1,20:24:26,00238 - HERBETTES / BUTTE,43.579425835630786,1.473118127213999,16,17
22,20:30:16,00080 - FITTE VARSI,43.59970386767416,1.429275168509917,0,23
5,20:28:10,00057 - MERLY ARCOLE,43.610488427425665,1.4431072280246,10,15
4,20:27:08,00058 - CONCORDE ARCOLE,43.6106186453129,1.443637125697445,20,25
11,20:29:35,00272 - ANDRE VASSEUR,43.63539,1.47297,6,17
